=== Dataset Loaded ===
{'n_cameras': 126, 'n_points': 40037, 'n_observations': 148328, 'total_parameters': 121245, 'total_residuals': 296656}

=== Running Experiment 1: Robust Cost ===
   Iteration     Total nfev        Cost      Cost reduction    Step norm     Optimality   
       0              1         1.3279e+06                                    1.00e+07    
       1              9         9.6287e+05      3.65e+05       2.58e+03       8.99e+06    
       2             10         8.5666e+05      1.06e+05       6.92e+03       8.65e+06    
       3             11         7.4792e+05      1.09e+05       9.95e+03       8.29e+06    
       4             12         6.4168e+05      1.06e+05       2.80e+04       7.14e+06    
       5             13         6.1084e+05      3.08e+04       3.98e+03       7.04e+06    
       6             14         5.7885e+05      3.20e+04       9.73e+03       6.80e+06    
       7             15         5.3485e+05      4.40e+04       2.14e+04       6.29e+06    
       8             16         4.9144e+05      4.34e+04       2.50e+04       5.71e+06    
       9             17         4.3456e+05      5.69e+04       5.62e+04       4.42e+06    
      10             18         3.7439e+05      6.02e+04       6.87e+04       3.33e+06    
      11             20         3.5354e+05      2.08e+04       3.57e+04       3.10e+06    
      12             21         3.3367e+05      1.99e+04       3.93e+04       2.89e+06    
      13             22         3.1875e+05      1.49e+04       4.05e+04       2.67e+06    
      14             23         3.0429e+05      1.45e+04       4.03e+04       2.47e+06    
      15             24         2.9430e+05      9.99e+03       4.34e+04       2.28e+06    
      16             25         2.8065e+05      1.37e+04       4.42e+04       2.09e+06    
      17             26         2.7364e+05      7.01e+03       4.21e+04       1.91e+06    
      18             27         2.6274e+05      1.09e+04       4.52e+04       1.74e+06    
      19             28         2.5832e+05      4.41e+03       4.49e+04       1.58e+06    
      20             29         2.4881e+05      9.51e+03       4.23e+04       1.51e+06    
      21             30         2.4511e+05      3.71e+03       4.33e+04       1.46e+06    
      22             31         2.4170e+05      3.41e+03       1.18e+04       1.45e+06    
      23             32         2.3654e+05      5.16e+03       2.27e+04       1.42e+06    
      24             33         2.3389e+05      2.65e+03       2.39e+04       1.39e+06    
      25             34         2.3101e+05      2.88e+03       2.48e+04       1.36e+06    
      26             35         2.2821e+05      2.80e+03       2.48e+04       1.32e+06    
      27             36         2.2550e+05      2.71e+03       2.53e+04       1.29e+06    
      28             37         2.2301e+05      2.48e+03       2.58e+04       1.25e+06    
      29             38         2.2049e+05      2.52e+03       2.59e+04       1.22e+06    
      30             39         2.1823e+05      2.26e+03       2.60e+04       1.23e+06    
      31             40         2.1519e+05      3.04e+03       2.83e+04       1.27e+06    
      32             41         2.1353e+05      1.66e+03       2.83e+04       1.31e+06    
      33             42         2.1050e+05      3.03e+03       2.97e+04       1.34e+06    
      34             43         2.0789e+05      2.61e+03       3.52e+04       1.37e+06    
      35             44         2.0569e+05      2.20e+03       3.48e+04       1.40e+06    
      36             45         2.0313e+05      2.56e+03       3.66e+04       1.42e+06    
      37             46         2.0129e+05      1.84e+03       3.59e+04       1.43e+06    
      38             47         1.9874e+05      2.55e+03       3.80e+04       1.44e+06    
      39             48         1.9724e+05      1.50e+03       3.70e+04       1.45e+06    
      40             49         1.9465e+05      2.59e+03       3.96e+04       1.45e+06    
      41             50         1.9301e+05      1.64e+03       7.73e+04       1.45e+06    
      42             51         1.9152e+05      1.49e+03       2.20e+04       1.45e+06    
      43             52         1.8874e+05      2.78e+03       4.39e+04       1.44e+06    
      44             53         1.8644e+05      2.31e+03       8.52e+04       1.43e+06    
      45             54         1.8159e+05      4.85e+03       1.05e+05       1.40e+06    
      46             55         1.8000e+05      1.58e+03       1.69e+05       1.36e+06    
      47             56         1.7768e+05      2.33e+03       5.41e+04       1.34e+06    
      48             57         1.7364e+05      4.03e+03       1.09e+05       1.31e+06    
      49             58         1.6903e+05      4.61e+03       2.10e+05       1.25e+06    
      50             59         1.6440e+05      4.63e+03       2.15e+05       1.19e+06    
      51             60         1.6078e+05      3.62e+03       2.16e+05       1.13e+06    
      52             61         1.5520e+05      5.57e+03       2.53e+05       1.06e+06    
